client_id,primaryphonenumber,attribution_type,description,custom_group_id,referral,sub_referral,parameter_in_referrer_url,key,value,call_recording,whisper,status,primary_group,secondary_group,billed,test
117101,4166336644,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
117462,4042555006,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
117468,7277857461,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
117655,6108534350,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
117669,6613807331,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
117670,6613807330,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
117676,6503752350,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
117681,5107648837,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
117683,4086221232,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
117684,5104008908,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
117688,6506423910,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
117689,6503990773,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
117692,9253998881,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
117694,4086430847,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
117696,7605528767,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
117697,7605528784,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
117698,9513350113,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
117700,5417047864,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
117703,7027061051,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
117706,7027061052,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
117709,7027061140,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
117713,3608364049,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
